Wavelength,I,Incrament,,Ambient Air
655.88435,0.40351,,,
655.8844,0.40376,,,
655.88445,0.40351,,,
655.8845,0.40382,,,
655.88455,0.40382,,,
655.8846,0.4037,,,
655.88465,0.40345,,,
655.8847,0.40388,,,
655.88475,0.40376,,,
655.8848,0.404,,,
655.88485,0.40412,,,
655.8849,0.40394,,,
655.88495,0.40376,,,
655.885,0.40351,,,
655.88505,0.40358,,,
655.8851,0.4037,,,
655.88515,0.40388,,,
655.8852,0.40364,,,
655.88525,0.40382,,,
655.8853,0.40376,,,
655.88535,0.40388,,,
655.8854,0.40364,,,
655.88545,0.40358,,,
655.8855,0.40437,,,
655.88555,0.40345,,,
655.8856,0.40382,,,
655.88565,0.4037,,,
655.8857,0.4037,,,
655.88575,0.40382,,,
655.8858,0.40388,,,
655.88585,0.40382,,,
655.8859,0.40358,,,
655.88595,0.40364,,,
655.886,0.40358,,,
655.88605,0.40406,,,
655.8861,0.40376,,,
655.88615,0.40382,,,
655.8862,0.40394,,,
655.88625,0.40388,,,
655.8863,0.40388,,,
655.88635,0.40351,,,
655.8864,0.40358,,,
655.88645,0.40333,,,
655.8865,0.40431,,,
655.88655,0.40376,,,
655.8866,0.4037,,,
655.88665,0.40376,,,
655.8867,0.40394,,,
655.88675,0.40406,,,
655.8868,0.40394,,,
655.88685,0.4037,,,
655.8869,0.40351,,,
655.88695,0.40351,,,
655.887,0.40358,,,
655.88705,0.40364,,,
655.8871,0.40358,,,
655.88715,0.40358,,,
655.8872,0.40351,,,
655.88725,0.40376,,,
655.8873,0.40376,,,
655.88735,0.40382,,,
655.8874,0.40358,,,
655.88745,0.40388,,,
655.8875,0.4037,,,
655.88755,0.40364,,,
655.8876,0.40394,,,
655.88765,0.40455,,,
655.8877,0.40364,,,
655.88775,0.40376,,,
655.8878,0.40333,,,
655.88785,0.4037,,,
655.8879,0.4037,,,
655.88795,0.4037,,,
655.888,0.40351,,,
655.88805,0.40382,,,
655.8881,0.40382,,,
655.88815,0.40364,,,
655.8882,0.40364,,,
655.88825,0.40376,,,
655.8883,0.4037,,,
655.88835,0.40376,,,
655.8884,0.40406,,,
655.88845,0.40406,,,
655.8885,0.40345,,,
655.88855,0.40388,,,
655.8886,0.4037,,,
655.88865,0.40364,,,
655.8887,0.40388,,,
655.88875,0.40388,,,
655.8888,0.4037,,,
655.88885,0.40358,,,
655.8889,0.40376,,,
655.88895,0.40364,,,
655.889,0.4037,,,
655.88905,0.4037,,,
655.8891,0.40382,,,
655.88915,0.4037,,,
655.8892,0.4037,,,
655.88925,0.40437,,,
655.8893,0.4037,,,
655.88935,0.4037,,,
655.8894,0.40382,,,
655.88945,0.40351,,,
655.8895,0.40406,,,
655.88955,0.40364,,,
655.8896,0.40364,,,
655.88965,0.40376,,,
655.8897,0.40358,,,
655.88975,0.40376,,,
655.8898,0.40345,,,
